Accident Year,Accident Date/Time,Operator ID,Operator Name,Pipeline Location,Pipeline Type,Liquid Type,Accident City,Accident County,Accident State,Accident Latitude,Accident Longitude,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,All Costs,Address,City,County,State
2014,2/21/2014 8:00 AM,300,"PLAINS PIPELINE, L.P.",ONSHORE,UNDERGROUND,CRUDE OIL,HERMLEIGH,SCURRY,TX,32.53024,-100.83563000000001,CORROSION,INTERNAL,12.0,12.0,0.0,NO,NO,NO,33976,"{'road': 'County Road 4157', 'hamlet': 'China Grove', 'county': 'Scurry County', 'state': 'Texas', 'country': 'United States of America', 'country_code': 'us', 1: 'Scurry County', 2: 'Texas'}",,,
2014,2/21/2014 9:40 AM,12624,MOBIL CORP,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",DAISETTA,LIBERTY,TX,30.1291,-94.63105999999999,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.54,0.0,0.54,NO,NO,YES,32500,,,Gregg,Texas
2014,2/21/2014 10:30 AM,18718,SUNOCO PIPELINE L.P.,ONSHORE,UNDERGROUND,CRUDE OIL,LONGVIEW,GREGG,TX,32.48252,-94.84004,CORROSION,INTERNAL,15.0,10.0,5.0,NO,NO,NO,41885,"{'road': 'Private Rpad 2151', 'industrial': 'C W Resources', 'county': 'Gregg County', 'state': 'Texas', 'country': 'United States of America', 'country_code': 'us', 1: 'Gregg County', 2: 'Texas'}",Hoover,Garvin,Oklahoma
2014,2/24/2014 6:43 AM,32551,"BKEP PIPELINE, LLC",ONSHORE,UNDERGROUND,CRUDE OIL,RURAL,GARVIN,OK,34.55747,-97.28468000000001,CORROSION,EXTERNAL,5.0,0.0,5.0,NO,NO,YES,15000,"{'hamlet': 'Hoover', 'county': 'Garvin County', 'state': 'Oklahoma', 'country': 'United States of America', 'country_code': 'us', 1: 'Garvin County', 2: 'Oklahoma'}",,,
2014,2/24/2014 7:00 AM,39080,GLASS MOUNTAIN PIPELINE,ONSHORE,ABOVEGROUND,CRUDE OIL,CUSHING,LINCOLN,OK,35.93784934,-96.71795726,ALL OTHER CAUSES,MISCELLANEOUS,30.0,25.0,5.0,NO,NO,,20500,,Grayson Springs,Grayson,Kentucky
2014,2/24/2014 9:30 AM,12470,MID - VALLEY PIPELINE CO,ONSHORE,TANK,CRUDE OIL,CLARKSON,GRAYSON,KY,37.462216999999995,-86.225891,CORROSION,INTERNAL,1.0,1.0,0.0,NO,NO,NO,48200,"{'house_number': '2365', 'road': 'Peonia Road', 'hamlet': 'Grayson Springs', 'county': 'Grayson County', 'state': 'Kentucky', 'postcode': '42726', 'country': 'United States of America', 'country_code': 'us', 1: 'Grayson County', 2: 'Kentucky'}",Kinsloe,Gregg,Texas
2014,2/24/2014 5:04 PM,18718,SUNOCO PIPELINE L.P.,ONSHORE,UNDERGROUND,CRUDE OIL,LONGVIEW,GREGG,TX,32.44166,-94.81076999999999,CORROSION,INTERNAL,20.0,10.0,10.0,NO,NO,NO,206471,"{'road': 'TX 31', 'hamlet': 'Kinsloe', 'county': 'Gregg County', 'state': 'Texas', 'postcode': '75604', 'country': 'United States of America', 'country_code': 'us', 1: 'Gregg County', 2: 'Texas'}",Schererville,Lake,Indiana
2014,2/25/2014 10:30 AM,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",ONSHORE,ABOVEGROUND,CRUDE OIL,GRIFFITH,LAKE,IN,41.52278,-87.45194000000001,CORROSION,INTERNAL,747.7,747.7,0.0,NO,NO,YES,942824,"{'leisure': 'Hoosier Prairie State Nature Preserve', 'road': 'Kaeser Boulevard', 'neighbourhood': 'Stone Bridge', 'hamlet': 'Hartsdale', 'town': 'Schererville', 'county': 'Lake County', 'state': 'Indiana', 'postcode': '46375', 'country': 'United States of America', 'country_code': 'us', 1: 'Lake County', 2: 'Indiana'}",,Garvin,Oklahoma
2014,2/26/2014 2:10 PM,32551,"BKEP PIPELINE, LLC",ONSHORE,UNDERGROUND,CRUDE OIL,,,OK,34.55773,-97.37179,CORROSION,EXTERNAL,1.0,1.0,0.0,NO,NO,,29000,"{'county': 'Garvin County', 'state': 'Oklahoma', 'country': 'United States of America', 'country_code': 'us', 1: 'Garvin County', 2: 'Oklahoma'}",,Payne,Oklahoma
2014,2/27/2014 9:22 AM,30829,ENTERPRISE CRUDE PIPELINE LLC,ONSHORE,ABOVEGROUND,CRUDE OIL,CUSHING,PAYNE,OK,35.950352,-96.7594,CORROSION,INTERNAL,1.5,1.5,0.0,NO,NO,YES,56650,"{'county': 'Payne County', 'state': 'Oklahoma', 'postcode': '74023', 'country': 'United States of America', 'country_code': 'us', 1: 'Payne County', 2: 'Oklahoma'}",Mehlville,Saint Louis,Missouri
