Accident Year,Accident Date/Time,Operator ID,Operator Name,Pipeline Location,Pipeline Type,Liquid Type,Accident City,Accident County,Accident State,Accident Latitude,Accident Longitude,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,All Costs
2013,8/13/2013 12:50 PM,22610,"MAGELLAN PIPELINE COMPANY, LP",ONSHORE,UNDERGROUND,CRUDE OIL,AUSTIN,TRAVIS,TX,30.20382,-97.87389,INCORRECT OPERATION,DAMAGE BY OPERATOR OR OPERATOR'S CONTRACTOR,7.6,7.6,0.0,NO,NO,YES,33800
2013,8/13/2013 2:15 PM,32412,"MARKWEST LIBERTY MIDSTREAM & RESOURCES, LLC",ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LITTLETON,WETZEL,WV,39.708079999999995,-80.56138,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,11405.0,0.0,11405.0,NO,NO,YES,4917350
2013,8/13/2013 2:55 PM,1845,"BUCKEYE PARTNERS, LP",ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",LINDEN,UNION,NJ,40.605222,-74.23907,INCORRECT OPERATION,INCORRECT VALVE POSITION,1.85,1.83,0.02,NO,NO,NO,27000
2013,8/15/2013 10:50 AM,31570,TESORO HIGH PLAINS PIPELINE COMPANY LLC,ONSHORE,TANK,CRUDE OIL,ALEXANDER,MCKENZIE,ND,47.934931,-103.64771400000001,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,118.0,118.0,0.0,NO,NO,YES,17900
2013,8/15/2013 1:00 PM,4805,EXPLORER PIPELINE CO,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",DECATUR,MACON,IL,39.789126,-89.104467,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.38,0.38,0.0,NO,NO,NO,45970
2013,8/16/2013 4:55 AM,31618,ENTERPRISE PRODUCTS OPERATING LLC,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",NEEDVILLE,FORT BEND,TX,29.358902,-95.85094000000001,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0.0,0.0,0.0,YES,NO,NO,0
2013,8/18/2013 5:30 AM,30829,ENTERPRISE CRUDE PIPELINE LLC,ONSHORE,ABOVEGROUND,CRUDE OIL,LA GRANGE,FAYETTE,TX,29.950028000000003,-96.850184,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,3.0,3.0,0.0,NO,NO,NO,7175
2013,8/19/2013 9:51 AM,12105,"MAGELLAN AMMONIA PIPELINE, L.P.",ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LIVERMORE,HUMBOLDT,IA,42.854755,-94.159355,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,5.23,0.0,5.23,NO,NO,YES,112822
2013,8/19/2013 10:32 AM,300,"PLAINS PIPELINE, L.P.",ONSHORE,UNDERGROUND,CRUDE OIL,MEDICINE BOW,CARBON,WY,41.845833299999995,-106.2038889,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,6.0,6.0,0.0,NO,NO,NO,23500
2013,8/19/2013 11:36 AM,31684,PHILLIPS 66 PIPELINE LLC,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",HOMINY,OSAGE,OK,36.346272,-96.38565,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,491.0,490.0,1.0,NO,NO,YES,381000
